TAM_O,TIME_O
10,0.000344
50,0.004209
100,0.003993
200,0.021164
300,0.069353
400,0.173940
500,0.400196
1000,3.837082
10,0.000413
50,0.001626
100,0.006375
200,0.053235
300,0.159115
400,0.240530
500,0.383136
1000,4.412045
10,0.000343
50,0.001296
100,0.005583
200,0.020496
300,0.070607
400,0.150063
500,0.311417
1000,4.255555
10,0.000233
50,0.001403
100,0.005846
200,0.020867
300,0.060706
400,0.135700
500,0.269602
1000,3.695991
10,0.000269
50,0.001413
100,0.003949
200,0.018310
300,0.072894
400,0.151711
500,0.279352
1000,3.709294
10,0.000239
50,0.001290
100,0.004711
200,0.019982
300,0.071335
400,0.152779
500,0.267557
1000,3.661203
10,0.000223
50,0.001118
100,0.003874
200,0.019658
300,0.075721
400,0.151974
500,0.272105
1000,3.728963
10,0.000200
50,0.001649
100,0.005185
200,0.018842
300,0.071751
400,0.149139
500,0.268853
1000,3.626506
10,0.000198
50,0.001209
100,0.005801
200,0.019309
300,0.071210
400,0.153966
500,0.267315
1000,3.619940
10,0.000201
50,0.001287
100,0.005302
200,0.019189
300,0.073168
400,0.148526
500,0.266691
1000,3.639217
