TAM_P,TIME_P
10,0.000371
50,0.001296
100,0.003944
200,0.018586
300,0.054909
400,0.131811
500,0.258090
1000,4.424743
10,0.000310
50,0.001661
100,0.003792
200,0.018469
300,0.059005
400,0.130953
500,0.257962
1000,3.898031
10,0.000305
50,0.001610
100,0.003463
200,0.018053
300,0.056507
400,0.131377
500,0.273238
1000,3.656254
10,0.000323
50,0.001879
100,0.003730
200,0.018172
300,0.056803
400,0.133120
500,0.285951
1000,3.693833
10,0.001604
50,0.001875
100,0.003232
200,0.018389
300,0.056569
400,0.132423
500,0.275033
1000,4.024901
10,0.000296
50,0.001617
100,0.003552
200,0.018760
300,0.058356
400,0.130901
500,0.258676
1000,3.596870
10,0.002111
50,0.001740
100,0.003396
200,0.019921
300,0.056689
400,0.130565
500,0.262850
1000,3.509384
10,0.000332
50,0.001879
100,0.004294
200,0.018951
300,0.056620
400,0.134055
500,0.261060
1000,3.677182
10,0.000369
50,0.003104
100,0.004538
200,0.019861
300,0.058526
400,0.133790
500,0.269590
1000,3.999242
10,0.000277
50,0.002133
100,0.003569
200,0.018985
300,0.060662
400,0.192734
500,0.409533
1000,5.104683
