TAM_S,TIME_S
10,0.000007
50,0.000702
100,0.003615
200,0.028920
300,0.103045
400,0.241066
500,0.514531
1000,7.907152
10,0.000004
50,0.000959
100,0.004394
200,0.028096
300,0.096953
400,0.241420
500,0.496137
1000,7.849057
10,0.000006
50,0.000681
100,0.004089
200,0.029992
300,0.098493
400,0.242146
500,0.500010
1000,7.853099
10,0.000004
50,0.000477
100,0.003906
200,0.030998
300,0.096417
400,0.242159
500,0.499946
1000,7.852145
10,0.000007
50,0.000679
100,0.003763
200,0.027311
300,0.102974
400,0.242779
500,0.501909
1000,7.850807
10,0.000004
50,0.000674
100,0.003752
200,0.028659
300,0.098477
400,0.241310
500,0.504310
1000,7.840151
10,0.000004
50,0.000667
100,0.003656
200,0.028142
300,0.096611
400,0.241026
500,0.495493
1000,7.839943
10,0.000004
50,0.000923
100,0.005204
200,0.028748
300,0.096905
400,0.240299
500,0.501375
1000,7.855914
10,0.000004
50,0.000574
100,0.004293
200,0.027797
300,0.096436
400,0.240456
500,0.496883
1000,8.022546
10,0.000004
50,0.000418
100,0.003483
200,0.028700
300,0.098976
400,0.241075
500,0.497063
1000,7.892519
